"state","postcode","fips","pop18","sqml","popden18","religex","pov18","dwm_2020","fm_all","fm_end","fm_end_2","drc_2020","drcp1_2020","drcp2_2020","clrest","endrest","clrst2","endrest2","end_brs","closebar","end_brs2","clbar2","dbc_2020","endgym","clgym","end_clgym2","clgym2","dgc_2020","end_sthm_2","end_sthm","stayhome","dsh_2020","qmst","qmat","qm_end","qmt","qm_end_2","dtq_2020","clbsns","end_bsns","dnbc_2020"
"Alabama","AL",1,"4887871",52420,93.24,0,16.8,151,2020-07-16,NA,2020-12-14,53,53,0,2020-03-19,2020-05-11,NA,NA,2020-05-11,2020-03-19,NA,NA,53,2020-05-11,2020-03-28,NA,NA,44,2020-04-30,2020-04-30,2020-04-04,26,NA,NA,NA,NA,2020-12-14,0,2020-03-28,2020-04-30,33
"Alaska","AK",2,"737438",665384,1.11,0,10.9,28,2020-04-24,2020-05-22,2020-05-22,37,37,0,2020-03-18,2020-04-24,NA,NA,2020-05-08,2020-03-18,NA,NA,51,2020-05-08,2020-03-18,NA,NA,51,2020-04-24,2020-04-24,2020-03-28,27,NA,2020-03-25,2021-02-14,2020-03-25,2020-12-14,264,2020-03-24,2020-04-24,31
"Arizona","AZ",4,"7171646",113990,62.91,1,14,0,NA,NA,2020-12-14,51,51,0,2020-03-21,2020-05-11,NA,NA,2020-05-16,2020-03-21,NA,2020-06-29,224,2020-05-13,2020-03-21,NA,2020-06-29,221,2020-05-16,2020-05-16,2020-03-31,46,2020-04-09,NA,2020-05-12,2020-04-09,2020-05-12,33,2020-03-31,2020-05-08,38
"Arkansas","AR",5,"3013825",53179,56.67,0,17.2,147,2020-07-20,NA,2020-12-14,52,52,0,2020-03-20,2020-05-11,NA,NA,2020-05-19,2020-03-20,NA,NA,60,2020-05-04,2020-03-20,NA,NA,45,2020-12-14,NA,NA,0,2020-05-05,NA,2020-06-15,2020-05-05,2020-06-15,41,2020-04-06,2020-05-04,28
"California","CA",6,"39557045",163695,241.65,0,12.8,179,2020-06-18,NA,2020-12-14,217,63,154,2020-03-16,2020-05-18,2020-07-13,NA,NA,2020-03-16,NA,NA,273,NA,2020-03-19,NA,NA,270,2020-12-14,2021-01-25,2020-03-19,270,NA,NA,NA,NA,2020-12-14,0,2020-03-19,2020-05-08,50
"Colorado","CO",8,"5695564",104094,54.72,1,9.6,151,2020-07-16,NA,2020-12-14,71,71,0,2020-03-17,2020-05-27,NA,NA,2020-06-18,2020-03-17,NA,2020-06-30,260,2020-06-04,2020-03-17,NA,NA,79,2020-04-27,2020-04-27,2020-03-26,32,NA,NA,NA,NA,2020-12-14,0,2020-03-19,2020-05-01,43
"Connecticut","CT",9,"3572665",5543,644.54,0,10.4,238,2020-04-20,NA,2020-12-14,65,65,0,2020-03-16,2020-05-20,NA,NA,NA,2020-03-16,NA,NA,273,2020-06-17,2020-03-16,NA,NA,93,2020-05-20,2020-05-20,2020-03-23,58,2020-06-25,NA,2021-03-19,2020-06-25,2020-12-14,172,2020-03-23,2020-05-20,58
"Delaware","DE",10,"967171",2489,388.58,1,12.5,230,2020-04-28,NA,2020-12-14,77,77,0,2020-03-16,2020-06-01,NA,NA,2020-06-15,2020-03-16,NA,NA,91,2020-06-01,2020-03-19,NA,NA,74,2020-06-01,2020-06-01,2020-03-24,69,NA,2020-03-30,2020-06-01,2020-03-30,2020-06-01,63,2020-03-24,2020-05-08,45
"District of Columbia","DC",11,"702455",61.1,11496.81,0,16.2,241,2020-04-17,NA,2020-12-14,65,74,-9,2020-03-16,2020-05-29,2020-12-23,2021-01-22,2020-05-29,2020-03-16,NA,NA,74,2020-06-22,2020-03-17,NA,NA,97,2020-05-29,2020-05-29,2020-04-01,58,2020-07-27,NA,NA,2020-07-27,2020-12-14,140,2020-03-25,2020-05-29,65
"Florida","FL",12,"21299325",65758,323.9,1,13.6,0,NA,NA,2020-12-14,45,45,0,2020-04-03,2020-05-18,NA,NA,2020-06-05,2020-03-17,2020-09-14,2020-06-26,160,2020-05-18,2020-04-03,NA,NA,45,2020-05-18,2020-05-18,2020-04-03,45,2020-03-24,NA,2020-08-05,2020-03-24,2020-08-05,134,2020-04-03,2020-05-18,45
"Georgia","GA",13,"10519475",59425,177.02,0,14.3,0,NA,NA,2020-12-14,24,24,0,2020-04-03,2020-04-27,NA,NA,2020-06-01,2020-03-24,NA,NA,69,2020-04-24,2020-04-03,NA,NA,21,2020-05-01,2020-05-01,2020-04-03,28,NA,NA,NA,NA,2020-12-14,0,2020-04-03,2020-05-01,28
"Hawaii","HI",15,"1420491",10932,129.94,0,8.8,0,NA,NA,2020-12-14,80,80,0,2020-03-17,2020-06-05,NA,NA,2020-06-26,2020-03-17,NA,NA,101,2020-06-19,2020-03-25,NA,NA,86,2020-05-31,2020-05-31,2020-03-25,67,NA,2020-03-26,NA,2020-03-26,2020-12-14,263,2020-03-25,2020-05-07,43
"Idaho","ID",16,"1754208",83569,20.99,0,11.8,0,NA,NA,2020-12-14,52,52,0,2020-03-25,2020-05-16,NA,NA,2020-05-30,2020-03-25,NA,NA,66,2020-05-16,2020-03-25,NA,NA,52,2020-05-01,2020-05-01,2020-03-25,37,NA,2020-04-15,2020-05-16,2020-04-15,2020-05-16,31,2020-03-25,2020-05-01,37
"Illinois","IL",17,"12741080",57914,220,0,12.1,227,2020-05-01,NA,2020-12-14,98,74,24,2020-03-16,2020-05-29,2020-11-20,NA,2020-06-26,2020-03-16,NA,2020-11-20,126,2020-05-29,2020-03-21,NA,NA,69,2020-05-29,2020-05-29,2020-03-21,69,NA,NA,NA,NA,2020-12-14,0,2020-03-21,2020-05-29,69
