STATE,POSTCODE,FIPS,STEMERG,STEMERGEND,CLSCHOOL,CLDAYCR,OPNCLDCR,CLNURSHM,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,CURFEW,END_BSNS,RELIGEX,FM_ALL,FM_ALL2,FMFINE,FMCITE,FMNOENF,FM_EMP,FM_END,FM_STP,ALCOPEN,ALCREST,ALCDELIV,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,CURFEWEND,BCLBAR2,CLBAR2,CLMV2,CLHAIR2,CLGYM2,CLRST2,ENDREST2,END_BRS2,END_CLGYM2,END_CLMV2,CLBAR3,CLRST3,END_CLRST3,QRSOMEST,QR_ALLST,QR_END,VAC_PLAN,VAC_HCW,VAC_HCS,VAC_HHC,VAC_AHC,VAC_LTC,VAC_EMS,VAC_FF,VAC_LAW,VAC_CORR,VAC_INC,VAC_SHELTER,VAC_75,VAC_65,VAC_HR,VAC_K12,VAC_HIGHED,VAC_PT,VAC_FOOD,VAC_GROCERY,VAC_ESSWORK,VAC_ADDWORK,VAC_PUB,AGEPRIORITY,PROOFWORK,PROOFAGE,PROOFRES,PENALTY,EXPANDADMIN,EMSTART,EMEND,EMSTART2,EMEND2,EMSTART3,EMEND3,FREEZEINIT,LIFTINIT,FREEZEINIT2,LIFTINIT2,COURTCLOSE,COURTOPEN,COURTCLOSE2,COURTOPEN2,FREEZEENF,LIFTENF,FREEZEENF2,LIFTENF2,C19START,C19END,C19START2,C19END2,CARESSTART,CARESEND,CDCSTART,CDCEND,SMSTART,SMEND,SMSTART2,URSTART,UREND,SNAPALLO,SNAPEBT20,SNAPEBT21,SNAPSUSP,SNAPTLW,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,CHIPLKOT,LKOTSUS,TEST,CASE,HOSP,DEATH,VACCINE,TESTAIAN,CASEAIAN,HOSPAIAN,DEATHAIAN,VACCINEAIAN,VISITPER,VISITATT,VISITRES,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,ELECNOSTART,ELECPRCR2,ENDELECP2,WTPRD,WV_WTPRD,REI_WTPRD,WV_WKSR,REI_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,EBSTART,EBEND,TUR,TURPRIOR,TURPRIOR2,20EBSTART,20EBEND,UIMINBP,UIQTRNEED,UIOUTHQBP,UIREQBPL2Q,UIBPEARN300,UITAXWA,UIMINTAXR,UIMAXTAXR,UIAVGBFTAUG,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,MH19,CASSTATE,AIANRESN,VBMEXC,VBMSIG,VBMPERM,VBMAUTOBAL,VBMAUTOAP,VBMGENELEC,CASCLOSE,CASOPEN,CASCLOSE2,CASOPEN2,CASTRIBCAS,MINWAGE2019,MINWAGEJAN2020,MINWAGEJUL2020,MINWAGESEP2020,MINWAGEOCT2020,TIPMINWAGE2020,MINWAGE2021,SMALLBUSMINWAGE
State,State Abbreviation,FIPS Code,State of emergency issued,State of emergency expired,Date closed K-12 public schools,Closed day cares,Reopen day cares,Date banned visitors to nursing homes,Stay at home/ shelter in place,Stay at home order' issued but did not specifically restrict movement of the general public,End/relax stay at home/shelter in place,Closed other non-essential businesses,Closed businesses overnight,Began to reopen businesses,Religious gatherings exempt without clear social distance mandate*,Mandate face mask use by all individuals in public spaces,Second mandate for facemasks by all individuals in public places,Face mask mandate enforced by fines,Face mask mandate enforced by criminal charge/citation,No legal enforcement of face mask mandate,Mandated face mask use by employees in public-facing businesses,Ended statewide mask use by individuals in public spaces,Attempted to prevent local governments from implementing face mask orders,Alcohol/Liquor Stores Open,Allow restaurants to sell takeout alcohol,Allow restaurants to deliver alcohol,Keep Firearms Sellers Open,Closed restaurants except take out,Reopen restaurants,Initially reopen restaurants for outdoor dining only,Closed gyms,Reopened gyms,Closed movie theaters,Reopened movie theaters,Closed Bars,Reopen bars,Reopened hair salons/barber shops,Reopen Religious Gatherings,Reopen other non-essential retail,Allowed businesses to reopen overnight,Begin to Re-Close Bars,Re-Close Bars (statewide),Re-Close Movie Theaters (statewide),Re-close hair salons and barber shops (statewide),Re-Close Gyms (statewide),Re-Close Indoor Dining (Statewide),Re-open indoor dining statewide (x2),Re-open bars statewide (x2),Re-open gyms statewide (x2),Re-open movie theaters statewide (x2),Close Bars (x3),Close Indoor Dining (x3),Reopen Indoor Dining (x3),Mandate quarantine for those entering the state from specific settings,Mandate quarantine for all individuals entering the state,Date all mandated quarantines ended,Date vaccine allocation plan last updated,Vaccine allocation phase: Frontline Healthcare Workers,Vaccine allocation phase: Healthcare Service Workers,Vaccine allocation phase: Home Healthcare Workers,Vaccine allocation phase: Additional Healthcare Workers,Vaccine allocation phase: Long-term Care Residents,Vaccine allocation phase: EMS Providers,Vaccine allocation phase: Firefighters,Vaccine allocation phase: Law Enforcement & Public Safety Personnel,Vaccine allocation phase: Correctional Staff,Vaccine allocation phase: People who are Incarcerated,Vaccine allocation phase: Residents of Homeless Shelters,Vaccine allocation phase: Adults Ages 75+,Vaccine allocation phase: Adults Ages 65+,Vaccine allocation phase: Adults w/ High-Risk Medical Conditions,Vaccine allocation phase: Pre-K-12 School Employees,Vaccine allocation phase: Higher Education Employees,Vaccine allocation phase: Public Transit Workers,Vaccine allocation phase: Food Supply Workers,Vaccine allocation phase: Grocery Store Workers,Vaccine allocation phase: Frontline Essential Workers,Vaccine allocation phase: Additional Essential Workers,Vaccine allocation phase: General Public,Prioritize older adults in earlier phase than essential workers,Proof of work eligibility requirement for vaccination,Proof of age eligibility requirement for vaccination,Proof of residency requirement for vaccination,Penalty for failure to comply with vaccine distribution requirements,Expanded scope of practice of certain health providers to administer vaccines,Overall eviction moratorium start,Overall eviction moratorium expiration,Second overall eviction moratorium start,Second overall eviction moratorium end,Third overall eviction moratorium start,Third overall eviction moratorium end,Freeze initiation of evictions,Lift freeze of eviction initiation,Second freeze of eviction initiation,Lift second freeze of eviction initiation,Suspend court hearings for evictions,Resume court hearings for evictions,Second suspension of court hearings for evictions,Second resumption of court hearings for evictions,Freeze enforcement of evictions,Lift freeze of eviction enforcement,Second freeze of eviction enforcement,Lift second freeze of eviction enforcement,COVID-19 hardship start,COVID-19 hardship expiration,Second COVID-19 hardship start,Second COVID-19 hardship expiration,CARES Act pleading start,CARES Act pleading end,CDC start,CDC end,Utilities shutoff moratorium start,Utilities shutoff moratorium expiration,Second utilities shutoff moratorium start,Utilities reconnection start,Utilities reconnection end,SNAP Waiver - Emergency Allotments to Current SNAP Households,SNAP Waiver - Pandemic EBT during school year 2019-2020,SNAP Waiver - Pandemic EBT during school year 2020-2021,SNAP Waiver - Temporary Suspension of Claims Collection,2020 Q1 SNAP ABAWD Time Limit Waiver,Modify Medicaid requirements with 1135 waivers (date of CMS approval),Reopened ACA enrollment using a special enrollment period,State previously allowed audio-only telehealth,Allow audio-only telehealth,Allow/expand Medicaid telehealth coverage,State had CHIP premium non-payment lock-out period as of January 2019,Suspend CHIP premium non-payment lock-outs,Report COVID-19 testing by race/ethnicity,Report COVID-19 cases by race/ethnicity,Report COVID-19 hospitalizations by race,Report COVID-19 deaths by race/ethnicity,Report COVID-19 vaccinations by race/ethnicity,Report Indigenous COVID-19 testing,Report Indigenous COVID-19 cases,Report Indigenous COVID-19 hospitalizations,Report Indigenous COVID-19 deaths,Report Indigenous COVID-19 vaccinations,Stopped personal visitation in state prisons,Stopped in-person attorney visits in state prisons,Began to resume visitation in state prisons,Does not charge copays for incarcerated individuals,Waived COVID/respiratory illness-related copays during pandemic for incarcerated individuals,Waived all copays during pandemic for incarcerated individuals,Did not waive copays for incarcerated individuals,Suspended elective medical procedures,Resumed elective medical procedures,No order to suspend elective medical procedures but did release guidance or orders to resume,Suspended elective medical procedures x2,Resumed elective medical procedures x2,No state unemployment waiting period prior to pandemic; or date waiting period waived not found,Waived one week waiting period for unemployment insurance,Reinstated one week waiting period for unemployment insurance,Waive work search requirement for unemployment insurance,Reinstated work search requirement for UI,Expand eligibility of unemployment insurance to anyone who is quarantined and/or taking care of someone who is quarantined,Expand eligibility to high-risk individuals in preventative quarantine,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,Extend the amount of time an individual can be on unemployment insurance,Weekly unemployment insurance maximum amount (dollars),"Weekly unemployment insurance maximum amount with extra stimulus (through July 31, 2020) (dollars)",Unemployment insurance maximum duration (weeks),Unemployment insurance maximum duration with Pandemic Emergency Unemployment Compensation CARES extension (weeks),Extended Benefits program activated,Extended Benefits program deactivated,Total Unemployment Rate at Extended Benefits program shutoff,Total Unemployment Rate relative to prior year (%),Total Unemployment Rate relative to second prior year (%),20-week Extended Benefits program activated,20-week Extended Benefits program deactivated,Minimum total earnings required in the base period to qualify for UI,Number of calendar quarters with earnings in the base period needed to qualify for UI,Minimum total earnings required outside the highest earning calendar quarter of the base period to qualify for UI,Require earnings in the last two calendar quarters of the base period in order to qualify for UI,Earnings in base period required to receive a $300 weekly benefit amount for UI,Taxable Wage Amount,Minimum Tax Rate (%),Maximum Tax Rate (%),Average Benefit Amount (August),Made Effort to Limit Abortion Access,Use of telemedicine/telephone evaluations to initiate buprenorphine prescribing,Patients can receive 14-28 take-home doses of opioid medication,Home delivery of take-home medication by opioid treatment programs,Use of telemedicine for schedule II-V prescriptions,Exceptions to emergency oral prescriptions,Waive requirement to obtain separate DEA registration to dispense outside home state,Paid sick leave,Medicaid Expansion,Population density per square miles,Population 2018 ,Square Miles,Number Homeless (2019),Percent Unemployed (2018),Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018,"Mental health professionals per 100,000 population in 2019",Were there casino(s) in State? (Land and Non-Land based),State has at least one Indian/Alaska Native reservation,"COVID-19 is not an acceptable reason to request application for mail-in ballot unless sick or exposed (as of September 16, 2020)","Witness or notary signature required for mail-in ballot (as of September 1, 2020)",Permanent mail-in ballot system,"Automatic mail-in ballot system in response to COVID-19 (0,1,2 2 being conditional- see notes for details)","Automatic applications sent for mail-in ballots in response to COVID-19 (0,1,2 2 being conditional- see notes for details)",Last date of receipt of mail-in ballot request for the general election (by mail or online),State-Mandated Casino Closure,State-Mandated Casino Re-Opening ,Second Casino Closure,Second Casino Re-Opening,Mention of Tribal Casinos,2019 Minimum Wage,Jan 1 2020 Minimum Wage,Jul 1 2020 Minimum Wage,Sep 1 2020 Minimum Wage,Oct 1 2020 Minimum Wage,2020 Minimum Wage for Tipped Workers,2021 Minimum Wage,Different Minimum Wage for Smaller Businesses
category,n/a,n/a,state_of_emergency,state_of_emergency,physical_distance_closure,physical_distance_closure,Reopening,physical_distance_closure,shelter,shelter,shelter,physical_distance_closure,physical_distance_closure,reopening,shelter,masks,masks,masks,masks,masks,masks,masks,masks,alcohol_firearms,alcohol_firearms,alcohol_firearms,alcohol_firearms,physical_distance_closures,reopening,reopening,physical_distance_closures,reopening,physical_distance_closures,reopening,physical_distance_closures,reopening,reopening,reopening,reopening,reopening,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,third_closures,third_closures,third_closures,quarantines,quarantines,quarantines,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,vaccine,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,food_security,food_security,food_security,food_security,food_security,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,incarceration,incarceration,incarceration,incarceration,incarceration,incarceration,incarceration,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,healthcare_delivery,SUD_policies,SUD_policies,SUD_policies,SUD_policies,SUD_policies,SUD_policies,pre_covid_policy,pre_covid_policy,population_density,state_characteristics,state_characteristics,state_characteristics,state_characteristics,state_characteristics,state_characteristics,state_characteristics,state_characteristics,Casino ,state_characteristics,vote_by_mail,vote_by_mail,vote_by_mail,vote_by_mail,vote_by_mail,vote_by_mail,physical_distance_closures,reopening,second_closures,second_closures,physical_distance_closures,minimum_wage,minimum_wage,minimum_wage,minimum_wage,minimum_wage,minimum_wage,minimum_wage,minimum_wage
type,note,note,start,end,start,start,end,start,start,start,end,start,start,end,attribute,start,start,attribute,attribute,attribute,start,end,start,attribute,start,start,attribute,start,end,attribute,start,end,start,end,start,end,end,end,end,end,start,start,start,start,start,start,end,end,end,end,start,start,end,start,start,end,start,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,start,end,start,start,start,start,attribute,start,start,attribute,start,start,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,start,start,end,attribute,attribute,attribute,attribute,start,end ,end,start,end,attribute,start,end,attribute,attribute,attribute,attribute,attribute,attribute,quantity,quantity,quantity,quantity,start,end,quantity,quantity,quantity,start,end,quantity,quantity,quantity,attribute,quantity,quantity,quantity,quantity,quantity,note,start,start,start,start,start,start,attribute,attribute,quantity,quantity,quantity,quantity,quantity,quantity,quantity,quantity,quantity,attribute,attribute,attribute,attribute,attribute,attribute,attribute,date,start,end,start,end,attribute,quantity,quantity,quantity,quantity,quantity,quantity,quantity,attribute
unit,text,attribute,date,date,date,date,date,date,date,date,date,date,end,date,flag,date,date,flag,flag,flag,date,date,date,flag,date,date,flag,date,date,flag,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,flag,flag,flag,flag,flag,flag,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,flag,date,date,flag,date,date,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,date,date,date,flag,flag,flag,flag,date,date,date,date,date,flag,date,date,flag,flag,flag,flag,flag,flag,dollars,dollars,weeks,weeks,date,date,rate,percent,percent,date,date,dollars,Calendar Quarters,dollars,flag,dollars,dollars,percent,percent,dollars,text,date,date,date,date,date,date,flag,flag,people/sq mi,people,sq mi,people,percent,percent,percent,people/year,"per 100,000",flag,flag,flag,flag,flag,flag,flag,start,date,date,date,date,flag,dollars,dollars,dollars,dollars,dollars,dollars,dollars,flag
Alabama,AL,1,3/13/2020,0,3/20/2020,3/20/2020,5/23/2020,3/19/2020,4/4/2020,0,4/30/2020,3/28/2020,0,4/30/2020,0,7/16/2020,0,0,0,1,5/11/2020,0,0,1,3/24/2020,3/24/2020,1,3/19/2020,5/11/2020,0,3/28/2020,5/11/2020,3/28/2020,5/22/2020,3/19/2020,5/11/2020,5/11/2020,5/11/2020,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/15/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1C,1C,1B,1B,1B,1B,1B,1B,1C,2,0,1,1,0,1,0,4/3/2020,6/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,4/3/2020,6/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/24/2020,4/21/2020,0,0,0,3/23/2020,0,0,3/22/2020,3/16/2020,0,0,0,1,0,1,1,0,0,0,0,1,3/13/2020,3/13/2020,0,0,0,1,0,3/19/2020,4/30/2020,0,0,0,0,3/16/2020,0,1,1,1,0,0,0,275,875,20,39,5/31/2020,9/26/2020,7,250,175,0,0,2340,2,780,0,Max Benefit < $300,8000,0.65,6.8,$250.77 ,1,0,0,0,3/20/2020,0,0,0,0,93.24,4887871,52420,"3,261",5.6,16.8,43.1,"54,352",100.7,1,1,0,1,0,0,0,10/29/2020,3/28/2020,5/22/2020,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
Alaska,AK,2,3/11/2020,2/14/2021,3/16/2020,0,0,0,3/28/2020,0,4/24/2020,3/24/2020,0,4/24/2020,0,4/24/2020,0,1,1,0,4/24/2020,5/22/2020,0,1,3/17/2020,3/17/2020,1,3/18/2020,4/24/2020,0,3/18/2020,5/8/2020,3/18/2020,5/8/2020,3/18/2020,5/8/2020,4/24/2020,5/8/2020,4/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/25/2020,2/14/2021,3/9/2021,1A,1A,1A,1A,1A,1A,1C,1C,1B,1B,1B,1B,1B,1C,1B,1C,1C,1C,1C,1C,1C,2,1,0,0,0,0,0,3/23/2020,7/1/2020,0,0,0,0,4/10/2020,7/1/2020,0,0,3/23/2020,4/24/2020,0,0,0,0,0,0,4/10/2020,7/1/2020,0,0,0,0,9/4/2020,0,0,0,0,0,0,4/1/2020,6/5/2020,0,0,1,4/2/2020,0,0,3/17/2020,3/20/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/13/2020,3/13/2020,0,0,1,0,0,3/19/2020,4/20/2020,0,0,0,0,3/18/2020,0,1,1,1,0,1,0,370,970,26,39,5/3/2020,0,-,-,-,7/5/2020,12/12/2020,2500,2,250,0,13636.36,41500,1,5.4,$443.23 ,1,0,0,0,0,0,0,0,1,1.11,737438,665384,"1,907",6.8,10.9,32.8,"4,453",429.9,0,1,0,1,0,0,2,10/24/2020,0,0,0,0,0,$10.19 ,$10.19 ,$10.19 ,$10.19 ,$10.19 ,$10.19 ,$10.34 ,0
Arizona,AZ,4,3/11/2020,0,3/16/2020,0,0,0,3/31/2020,0,5/16/2020,3/31/2020,0,5/8/2020,1,0,0,0,0,0,5/8/2020,0,3/30/2020,1,3/19/2020,3/19/2020,1,3/21/2020,5/11/2020,0,3/21/2020,5/13/2020,3/21/2020,5/16/2020,3/21/2020,5/16/2020,5/8/2020,0,5/8/2020,0,6/29/2020,6/29/2020,6/29/2020,0,6/29/2020,0,0,0,0,0,0,0,0,4/9/2020,0,5/12/2020,2/26/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1C,1C,1B,1B,1C,1B,1B,1B,1B,1B,1B,2,2,0,1,1,0,1,0,3/24/2020,10/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,3/24/2020,10/31/2020,0,0,3/24/2020,10/31/2020,0,0,3/27/2020,1/31/2021,9/4/2020,2/1/2021,0,0,0,0,0,4/1/2020,4/17/2020,2/25/2021,0,1,3/23/2020,0,0,3/25/2020,3/25/2020,1,1,0,1,1,1,1,0,1,1,1,1,3/13/2020,3/13/2020,0,0,1,0,0,3/21/2020,5/1/2020,0,0,0,0,3/20/2020,0,1,1,1,1,1,0,240,840,26,39,6/14/2020,12/12/2020,6.9,150,147,0,0,7020,2,2340,0,Max Benefit < $300,7000,0.05,12.85,$237.99 ,0,0,0,0,0,3/11/2020,0,1,1,62.91,7171646,113990,"10,007",5.4,14,39.1,"59,282",132.9,1,1,0,0,0,0,0,10/23/2020,0,0,0,0,0,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$9.00 ,$12.15 ,0
Arkansas,AR,5,3/11/2020,0,3/17/2020,0,0,3/13/2020,0,0,0,4/6/2020,11/19/2020,5/4/2020,0,7/20/2020,0,1,1,0,5/11/2020,0,0,1,3/19/2020,3/19/2020,1,3/20/2020,5/11/2020,0,3/20/2020,5/4/2020,3/20/2020,5/18/2020,3/20/2020,5/19/2020,5/6/2020,0,5/18/2020,1/3/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,5/5/2020,0,6/15/2020,1/12/2021,1A,1A,1A,1A,1A,1A,1A,1A,1B,1C,1C,1B,1C,1C,1B,1B,1B,1B,1B,1B,1C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/28/2020,7/25/2020,0,0,4/10/2020,2/27/2021,0,4/10/2020,2/27/2021,3/24/2020,5/21/2020,0,0,0,4/2/2020,0,0,3/13/2020,3/13/2020,0,0,0,1,0,1,0,0,1,0,1,0,3/16/2020,3/16/2020,0,0,1,0,0,4/3/2020,4/27/2020,0,0,0,0,3/17/2020,0,1,1,1,0,0,0,451,1051,16,33,5/31/2020,10/17/2020,7.5,208,208,0,0,2835,2,1,0,31200,7000,0.1,6,$223.84 ,1,0,0,0,0,0,0,0,1,56.67,3013825,53179,"2,717",4.5,17.2,43.5,"32,336",231.6,1,0,0,0,0,0,0,10/27/2020,3/17/2020,5/18/2020,0,0,0,$9.25 ,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$2.63 ,$11.00 ,1
California,CA,6,3/4/2020,0,3/23/2020,0,0,0,3/19/2020,0,1/25/2021,3/19/2020,11/21/2020,5/8/2020,0,6/18/2020,0,0,0,1,5/5/2020,0,0,1,3/19/2020,3/19/2020,0,3/16/2020,5/18/2020,0,3/19/2020,0,3/19/2020,0,3/16/2020,0,8/28/2020,5/25/2020,5/8/2020,1/25/2021,0,0,0,0,0,7/13/2020,0,0,0,0,0,0,0,0,0,0,2/13/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,1C,1B,1B,1B,1B,1B,1B,^,^,0,0,0,0,1,1,3/27/2020,9/2/2020,0,0,0,0,10/5/2020,7/1/2021,0,0,4/6/2020,10/4/2020,0,0,3/27/2020,6/1/2020,0,0,3/27/2020,6/1/2020,10/5/2020,0,0,0,0,0,3/4/2020,0,0,3/4/2020,0,3/30/2020,4/23/2020,0,0,1,3/23/2020,3/20/2020,0,3/30/2020,3/18/2020,0,0,1,1,0,1,1,1,1,0,1,1,3/11/2020,4/8/2020,0,1,0,0,0,3/19/2020,4/22/2020,0,0,0,0,3/12/2020,0,1,1,1,1,0,0,450,1050,26,39,5/10/2020,0,-,-,-,6/7/2020,1/16/2021,1125,2,225,0,6900,7000,1.5,6.2,$282.35 ,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,"151,278",5.5,12.8,33.3,"268,818",356.2,1,1,0,0,0,1,0,0,0,0,0,0,0,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.00 ,1
Colorado,CO,8,3/11/2020,0,3/23/2020,0,0,3/12/2020,3/26/2020,0,4/27/2020,3/19/2020,0,5/1/2020,1,7/16/2020,0,0,0,0,4/23/2020,0,0,1,3/20/2020,3/20/2020,1,3/17/2020,5/27/2020,0,3/17/2020,6/4/2020,3/17/2020,6/18/2020,3/17/2020,6/18/2020,5/1/2020,6/4/2020,5/1/2020,0,6/30/2020,6/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/26/2021,1A,1B,1B,1B,1A,1B,1B,1B,1B,2,2,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,2,0,0,0,0,0,1,4/30/2020,6/14/2020,10/21/2020,1/1/2021,0,0,4/30/2020,6/14/2020,10/21/2020,1/1/2021,0,0,0,0,4/30/2020,6/14/2020,10/21/2020,1/1/2021,5/29/2020,6/14/2020,10/21/2020,1/1/2021,0,0,10/15/2020,12/31/2020,0,0,0,0,0,4/1/2020,4/23/2020,0,4/10/2020,1,3/26/2020,3/20/2020,0,4/1/2020,3/20/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/11/2020,0,0,0,1,0,0,3/23/2020,4/27/2020,0,0,0,0,3/20/2020,0,1,2,0,0,0,0,618,1218,26,39,5/31/2020,11/28/2020,6.5,250,197,0,0,2500,1,0,0,13000,13600,0.58,7.4,$371.47 ,0,0,0,0,0,0,0,0,1,54.72,5695564,104094,"9,619",3.9,9.6,31.3,"38,526",356.4,1,1,0,0,1,0,0,0,3/17/2020,0,0,0,0,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$8.98 ,$12.32 ,1
