ATTR,TYPE_NEW
20EBEND,Employment
20EBSTART,Employment
EBEND,Employment
EBSTART,Employment
MINWAGE2019,Employment
MINWAGE2021,Employment
MINWAGEJAN2020,Employment
MINWAGEJUL2020,Employment
MINWAGEOCT2020,Employment
MINWAGESEP2020,Employment
REI_WKSR,Employment
REI_WTPRD,Employment
SMALLBUSMINWAGE,Employment
TIPMINWAGE2020,Employment
TUR,Employment
TURPRIOR,Employment
TURPRIOR2,Employment
UIAVGBFTAUG,Employment
UIBPEARN300,Employment
UICLDCR,Employment
UIEXTND,Employment
UIHIRISK,Employment
UIMAXAMT,Employment
UIMAXCAR,Employment
UIMAXDUR,Employment
UIMAXEXT,Employment
UIMAXTAXR,Employment
UIMINBP,Employment
UIMINTAXR,Employment
UIOUTHQBP,Employment
UIQTRNEED,Employment
UIQUAR,Employment
UIREQBPL2Q,Employment
UITAXWA,Employment
WTPRD,Employment
WV_WKSR,Employment
WV_WTPRD,Employment
SNAPALLO,Food
SNAPEBT20,Food
SNAPEBT21,Food
SNAPSUSP,Food
SNAPTLW,Food
C19END,Housing
C19END2,Housing
C19START,Housing
C19START2,Housing
CARESEND,Housing
CARESSTART,Housing
CDCEND,Housing
CDCSTART,Housing
COURTCLOSE,Housing
COURTCLOSE2,Housing
COURTOPEN,Housing
COURTOPEN2,Housing
EMEND,Housing
EMEND2,Housing
EMEND3,Housing
EMSTART,Housing
EMSTART2,Housing
EMSTART3,Housing
FREEZEENF,Housing
FREEZEENF2,Housing
FREEZEINIT,Housing
FREEZEINIT2,Housing
LIFTENF,Housing
LIFTENF2,Housing
LIFTINIT,Housing
LIFTINIT2,Housing
SMEND,Housing
SMSTART,Housing
SMSTART2,Housing
UREND,Housing
URSTART,Housing
NOCOPAY,Jail
NOPAYALL,Jail
NOPAYCOV,Jail
VISITATT,Jail
VISITPER,Jail
VISITRES,Jail
YESCOPAY,Jail
FM_ALL,Mask
FM_ALL2,Mask
FM_EMP,Mask
FM_END,Mask
FM_STP,Mask
FMCITE,Mask
FMFINE,Mask
FMNOENF,Mask
ACAENROL,Medical
CHIPLKOT,Medical
ELECNOSTART,Medical
ELECPRCR,Medical
ELECPRCR2,Medical
ENDELECP,Medical
ENDELECP2,Medical
EXCEMORP,Medical
EXTOPFL,Medical
HMDLVOP,Medical
LKOTSUS,Medical
LMABRN,Medical
MED1135W,Medical
PREVTLHL,Medical
TLHLAUD,Medical
TLHlBUPR,Medical
TLHLCL24,Medical
TLHLMED,Medical
WVDEAREQ,Medical
ALCDELIV,OpenClose
ALCOPEN,OpenClose
ALCREST,OpenClose
BCLBAR2,OpenClose
CASCLOSE,OpenClose
CASCLOSE2,OpenClose
CASOPEN,OpenClose
CASOPEN2,OpenClose
CASSTATE,OpenClose
CASTRIBCAS,OpenClose
CLBAR2,OpenClose
CLBAR3,OpenClose
CLBSNS,OpenClose
CLDAYCR,OpenClose
CLGYM,OpenClose
CLGYM2,OpenClose
CLHAIR2,OpenClose
CLMOVIE,OpenClose
CLMV2,OpenClose
CLNURSHM,OpenClose
CLOSEBAR,OpenClose
CLREST,OpenClose
CLRST2,OpenClose
CLRST3,OpenClose
CLSCHOOL,OpenClose
CURFEW,OpenClose
CURFEWEND,OpenClose
END_BRS,OpenClose
END_BRS2,OpenClose
END_BSNS,OpenClose
END_CLGYM2,OpenClose
END_CLMV2,OpenClose
END_CLRST3,OpenClose
END_HAIR,OpenClose
END_MOV,OpenClose
END_RELG,OpenClose
ENDGYM,OpenClose
ENDREST,OpenClose
ENDREST2,OpenClose
ENDRETL,OpenClose
GUNOPEN,OpenClose
OPNCLDCR,OpenClose
RSTOUTDR,OpenClose
END_STHM,Quarantine
QR_ALLST,Quarantine
QR_END,Quarantine
QRSOMEST,Quarantine
RELIGEX,Quarantine
STAYHOME,Quarantine
STAYHOMENOGP,Quarantine
STEMERG,Quarantine
STEMERGEND,Quarantine
CASE,Race
CASEAIAN,Race
DEATH,Race
DEATHAIAN,Race
HOSP,Race
HOSPAIAN,Race
TEST,Race
TESTAIAN,Race
VACCINE,Race
VACCINEAIAN,Race
AIANRESN,StateCharacter
DEATH18,StateCharacter
FIPS,StateCharacter
HMLS19,StateCharacter
MEDEXP,StateCharacter
MH19,StateCharacter
PDSKLV,StateCharacter
POP18,StateCharacter
POPDEN18,StateCharacter
POSTCODE,StateCharacter
POV18,StateCharacter
RISKCOV,StateCharacter
SQML,StateCharacter
UNEMP18,StateCharacter
AGEPRIORITY,Vacc
EXPANDADMIN,Vacc
PENALTY,Vacc
PROOFAGE,Vacc
PROOFRES,Vacc
PROOFWORK,Vacc
VAC_65,Vacc
VAC_75,Vacc
VAC_ADDWORK,Vacc
VAC_AHC,Vacc
VAC_CORR,Vacc
VAC_EMS,Vacc
VAC_ESSWORK,Vacc
VAC_FF,Vacc
VAC_FOOD,Vacc
VAC_GROCERY,Vacc
VAC_HCS,Vacc
VAC_HCW,Vacc
VAC_HHC,Vacc
VAC_HIGHED,Vacc
VAC_HR,Vacc
VAC_INC,Vacc
VAC_K12,Vacc
VAC_LAW,Vacc
VAC_LTC,Vacc
VAC_PLAN,Vacc
VAC_PT,Vacc
VAC_PUB,Vacc
VAC_SHELTER,Vacc
VBMAUTOAP,Vote
VBMAUTOBAL,Vote
VBMEXC,Vote
VBMGENELEC,Vote
VBMPERM,Vote
VBMSIG,Vote
VBMAUTOBAL,Vote
VBMEXC,Vote
VBMGENELEC,Vote
VBMPERM,Vote
VBMSIG,Vote
