"date","pid","policy","state"
2020-04-04,1,"stayhome","Alabama"
2020-04-05,1,"stayhome","Alabama"
2020-04-06,1,"stayhome","Alabama"
2020-04-07,1,"stayhome","Alabama"
2020-04-08,1,"stayhome","Alabama"
2020-04-09,1,"stayhome","Alabama"
2020-04-10,1,"stayhome","Alabama"
2020-04-11,1,"stayhome","Alabama"
2020-04-12,1,"stayhome","Alabama"
2020-04-13,1,"stayhome","Alabama"
2020-04-14,1,"stayhome","Alabama"
2020-04-15,1,"stayhome","Alabama"
2020-04-16,1,"stayhome","Alabama"
2020-04-17,1,"stayhome","Alabama"
2020-04-18,1,"stayhome","Alabama"
2020-04-19,1,"stayhome","Alabama"
2020-04-20,1,"stayhome","Alabama"
2020-04-21,1,"stayhome","Alabama"
2020-04-22,1,"stayhome","Alabama"
2020-04-23,1,"stayhome","Alabama"
2020-04-24,1,"stayhome","Alabama"
2020-04-25,1,"stayhome","Alabama"
2020-04-26,1,"stayhome","Alabama"
2020-04-27,1,"stayhome","Alabama"
2020-04-28,1,"stayhome","Alabama"
2020-04-29,1,"stayhome","Alabama"
2020-04-30,1,"stayhome","Alabama"
2020-03-19,2,"restaurant","Alabama"
2020-03-20,2,"restaurant","Alabama"
2020-03-21,2,"restaurant","Alabama"
2020-03-22,2,"restaurant","Alabama"
2020-03-23,2,"restaurant","Alabama"
2020-03-24,2,"restaurant","Alabama"
2020-03-25,2,"restaurant","Alabama"
2020-03-26,2,"restaurant","Alabama"
2020-03-27,2,"restaurant","Alabama"
2020-03-28,2,"restaurant","Alabama"
2020-03-29,2,"restaurant","Alabama"
2020-03-30,2,"restaurant","Alabama"
2020-03-31,2,"restaurant","Alabama"
2020-04-01,2,"restaurant","Alabama"
2020-04-02,2,"restaurant","Alabama"
2020-04-03,2,"restaurant","Alabama"
2020-04-04,2,"restaurant","Alabama"
2020-04-05,2,"restaurant","Alabama"
2020-04-06,2,"restaurant","Alabama"
2020-04-07,2,"restaurant","Alabama"
2020-04-08,2,"restaurant","Alabama"
2020-04-09,2,"restaurant","Alabama"
2020-04-10,2,"restaurant","Alabama"
2020-04-11,2,"restaurant","Alabama"
2020-04-12,2,"restaurant","Alabama"
2020-04-13,2,"restaurant","Alabama"
2020-04-14,2,"restaurant","Alabama"
2020-04-15,2,"restaurant","Alabama"
2020-04-16,2,"restaurant","Alabama"
2020-04-17,2,"restaurant","Alabama"
2020-04-18,2,"restaurant","Alabama"
2020-04-19,2,"restaurant","Alabama"
2020-04-20,2,"restaurant","Alabama"
2020-04-21,2,"restaurant","Alabama"
2020-04-22,2,"restaurant","Alabama"
2020-04-23,2,"restaurant","Alabama"
2020-04-24,2,"restaurant","Alabama"
2020-04-25,2,"restaurant","Alabama"
2020-04-26,2,"restaurant","Alabama"
2020-04-27,2,"restaurant","Alabama"
2020-04-28,2,"restaurant","Alabama"
2020-04-29,2,"restaurant","Alabama"
2020-04-30,2,"restaurant","Alabama"
2020-05-01,2,"restaurant","Alabama"
2020-05-02,2,"restaurant","Alabama"
2020-05-03,2,"restaurant","Alabama"
2020-05-04,2,"restaurant","Alabama"
2020-05-05,2,"restaurant","Alabama"
2020-05-06,2,"restaurant","Alabama"
2020-05-07,2,"restaurant","Alabama"
2020-05-08,2,"restaurant","Alabama"
2020-05-09,2,"restaurant","Alabama"
2020-05-10,2,"restaurant","Alabama"
2020-05-11,2,"restaurant","Alabama"
2020-12-14,2,"restaurant","Alabama"
